  0.000000000  0.000000000  0.000000000      24       0
       1       1  -10.566048475    0.000000000
       1       2  -11.317654845    0.000000000
       1       3  -11.317654846    0.000000000
       1       4  -11.317654845    0.000000000
       1       5   -6.486528871    0.000000000
       1       6   -6.815823942    0.000000000
       1       7   -6.815823942    0.000000000
       1       8   -9.478788173    0.000000000
       1       9   -9.478788181    0.000000000
       1      10   -9.478788178    0.000000000
       1      11   -6.302940673    0.000000000
       1      12   -6.302940667    0.000000000
       1      13   -6.302940673    0.000000000
       1      14   -9.493679947    0.000000000
       1      15   -6.503650222    0.000000000
       1      16   -6.503650222    0.000000000
       1      17   -6.503650222    0.000000000
       1      18   -5.721269848    0.000000000
       1      19   -5.501497882    0.000000000
       1      20   -5.501497882    0.000000000
       1      21   -7.062376426    0.000000000
       1      22   -7.062376382    0.000000000
       1      23   -7.062376381    0.000000000
       1      24   -5.473619119    0.000000000
